cluster_id,cluster_name,cluster_size,cluster_description,cluster_keywords,cluster_confidence,created_at,updated_at
1,Apple iPhone 8 Plus 64GB,23,Produk: Apple iPhone 8 Plus 64GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
2,Apple iPhone 7 Plus 32GB,22,Produk: Apple iPhone 7 Plus 32GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
3,Apple iPhone 7 32GB,22,Produk: Apple iPhone 7 32GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
4,Apple iPhone 8 64GB,22,Produk: Apple iPhone 8 64GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
5,Apple iPhone X 64GB,21,Produk: Apple iPhone X 64GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
6,Samsung Galaxy S8 64GB,21,Produk: Samsung Galaxy S8 64GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
7,Apple iPhone X 256GB,21,Produk: Apple iPhone X 256GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
8,Apple iPhone 7 128GB,20,Produk: Apple iPhone 7 128GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
9,Apple iPhone 8 Plus 256GB,18,Produk: Apple iPhone 8 Plus 256GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
10,Apple iPhone 8 256GB,20,Produk: Apple iPhone 8 256GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
11,Samsung Galaxy S7 32GB,15,Produk: Samsung Galaxy S7 32GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
12,Apple iPhone 7 Plus 128GB,19,Produk: Apple iPhone 7 Plus 128GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
13,Samsung Galaxy S8+ 64GB,19,Produk: Samsung Galaxy S8+ 64GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
14,Apple iPhone 6S 128GB,13,Produk: Apple iPhone 6S 128GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
15,Apple iPhone 6S Plus 32GB,14,Produk: Apple iPhone 6S Plus 32GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
16,Samsung Galaxy S9 64GB,15,Produk: Samsung Galaxy S9 64GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
17,Apple iPhone 6S 32GB,14,Produk: Apple iPhone 6S 32GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
18,Apple iPhone 6S Plus 128GB,14,Produk: Apple iPhone 6S Plus 128GB,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
19,Samsung Galaxy A3 SM-A320F,17,Produk: Samsung Galaxy A3 SM-A320F,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
20,Samsung Galaxy A5 SM-A520F,16,Produk: Samsung Galaxy A5 SM-A520F,otomatis,95.0,2025-06-15 14:34:56,2025-06-15 14:34:56
