distribution_id,category_id,cluster_id,date_id,status_id,total_products,total_merchants,avg_price,min_price,max_price,price_std_deviation,avg_rating,duplicates_detected,miscategorized_count,last_updated
1,2612,1,1,1,23,23,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
2,2612,2,1,1,22,22,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
3,2612,3,1,1,22,22,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
4,2612,4,1,1,22,22,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
5,2612,5,1,1,21,21,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
6,2612,6,1,1,21,21,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
7,2612,7,1,1,21,21,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
8,2612,8,1,1,20,20,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
9,2612,9,1,1,18,18,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
10,2612,10,1,1,20,20,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
11,2612,11,1,1,15,15,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
12,2612,12,1,1,19,19,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
13,2612,13,1,1,19,19,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
14,2612,14,1,1,13,13,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
15,2612,15,1,1,14,14,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
16,2612,16,1,1,15,15,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
17,2612,17,1,1,14,14,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
18,2612,18,1,1,14,14,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
19,2612,19,1,1,17,17,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
20,2612,20,1,1,16,16,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
21,2612,21,1,1,15,15,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
22,2612,22,1,1,20,20,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
23,2612,23,1,1,13,13,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
24,2612,24,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
25,2612,25,1,1,15,15,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
26,2612,26,1,1,10,10,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
27,2612,27,1,1,15,15,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
28,2612,28,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
29,2612,29,1,1,16,16,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
30,2612,30,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
31,2612,31,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
32,2612,32,1,1,14,14,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
33,2612,33,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
34,2612,34,1,1,12,12,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
35,2612,35,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
36,2612,36,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
37,2612,37,1,1,13,13,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
38,2612,38,1,1,10,10,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
39,2612,39,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
40,2612,40,1,1,10,10,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
41,2612,41,1,1,8,8,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
42,2612,42,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
43,2612,43,1,1,13,13,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
44,2612,44,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
45,2612,45,1,1,12,12,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
46,2612,46,1,1,10,10,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
47,2612,47,1,1,12,12,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
48,2612,48,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
49,2612,49,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
50,2612,50,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
51,2612,51,1,1,8,8,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
52,2612,52,1,1,8,8,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
53,2612,53,1,1,8,8,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
54,2612,54,1,1,4,4,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
55,2612,55,1,1,10,10,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
56,2612,56,1,1,5,5,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
57,2612,57,1,1,11,11,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
58,2612,58,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
59,2612,59,1,1,6,6,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
60,2612,60,1,1,13,13,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
61,2612,61,1,1,12,12,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
62,2612,62,1,1,6,6,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
63,2612,63,1,1,6,6,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
64,2612,64,1,1,9,9,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
65,2612,65,1,1,3,3,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
66,2612,66,1,1,12,12,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
67,2612,67,1,1,7,7,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
68,2612,68,1,1,8,8,100000.0,95000.0,105000.0,2000.0,4.2,0,0,2025-06-15 14:34:59
