cluster_id,cluster_name,cluster_size,cluster_description,cluster_keywords,cluster_confidence,created_at,updated_at
1,Apple iPhone 8 Plus 64GB,23,Produk: Apple iPhone 8 Plus 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
2,Apple iPhone 7 Plus 32GB,22,Produk: Apple iPhone 7 Plus 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
3,Apple iPhone 7 32GB,22,Produk: Apple iPhone 7 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
4,Apple iPhone 8 64GB,22,Produk: Apple iPhone 8 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
5,Apple iPhone X 64GB,21,Produk: Apple iPhone X 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
6,Samsung Galaxy S8 64GB,21,Produk: Samsung Galaxy S8 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
7,Apple iPhone X 256GB,21,Produk: Apple iPhone X 256GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
8,Apple iPhone 7 128GB,20,Produk: Apple iPhone 7 128GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
9,Apple iPhone 8 Plus 256GB,18,Produk: Apple iPhone 8 Plus 256GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
10,Apple iPhone 8 256GB,20,Produk: Apple iPhone 8 256GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
11,Samsung Galaxy S7 32GB,15,Produk: Samsung Galaxy S7 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
12,Apple iPhone 7 Plus 128GB,19,Produk: Apple iPhone 7 Plus 128GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
13,Samsung Galaxy S8+ 64GB,19,Produk: Samsung Galaxy S8+ 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
14,Apple iPhone 6S 128GB,13,Produk: Apple iPhone 6S 128GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
15,Apple iPhone 6S Plus 32GB,14,Produk: Apple iPhone 6S Plus 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
16,Samsung Galaxy S9 64GB,15,Produk: Samsung Galaxy S9 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
17,Apple iPhone 6S 32GB,14,Produk: Apple iPhone 6S 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
18,Apple iPhone 6S Plus 128GB,14,Produk: Apple iPhone 6S Plus 128GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
19,Samsung Galaxy A3 SM-A320F,17,Produk: Samsung Galaxy A3 SM-A320F,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
20,Samsung Galaxy A5 SM-A520F,16,Produk: Samsung Galaxy A5 SM-A520F,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
21,Samsung Galaxy Note 8 64GB,15,Produk: Samsung Galaxy Note 8 64GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
22,Doro 5030,20,Produk: Doro 5030,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
23,Apple iPhone SE 32GB,13,Produk: Apple iPhone SE 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
24,Samsung Galaxy S7 Edge 32GB,11,Produk: Samsung Galaxy S7 Edge 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
25,Sony Xperia XA2 Ultra 32GB,15,Produk: Sony Xperia XA2 Ultra 32GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
26,Samsung Galaxy J5 SM-J530,10,Produk: Samsung Galaxy J5 SM-J530,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
27,Sony Xperia XZ1 Compact,15,Produk: Sony Xperia XZ1 Compact,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
28,Apple iPhone SE 128GB,11,Produk: Apple iPhone SE 128GB,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
29,Sony Xperia L1,16,Produk: Sony Xperia L1,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
30,Samsung Galaxy J3 SM-J320F,11,Produk: Samsung Galaxy J3 SM-J320F,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
31,Sony Xperia XZ1,11,Produk: Sony Xperia XZ1,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
32,Doro 5516,14,Produk: Doro 5516,otomatis,95.0,2025-06-14 19:00:44,2025-06-14 19:00:44
