distribution_id,category_id,cluster_id,date_id,status_id,total_products,total_merchants,avg_price,min_price,max_price,price_std_deviation,avg_rating,duplicates_detected,miscategorized_count,last_updated
1,2612,1,1,1,23,23,9111918.347826088,3157515,14664638,3641952.6440039836,4.613043478260869,0,0,2025-06-15 13:23:32
2,2612,2,1,1,22,22,7484652.5,2090510,14720254,3825949.4557709433,4.6499999999999995,0,0,2025-06-15 13:23:32
3,2612,3,1,1,22,22,7552602.2727272725,2677202,13128758,3356295.5084729833,4.622727272727273,0,0,2025-06-15 13:23:32
4,2612,4,1,1,22,22,6576636.954545454,2004231,13946363,4086252.3584527913,4.586363636363637,0,0,2025-06-15 13:23:32
5,2612,5,1,1,21,21,9059410.285714285,2620194,14577136,4190338.0381023693,4.580952380952381,0,0,2025-06-15 13:23:32
6,2612,6,1,1,21,21,7768634.952380952,1816691,13196777,3192172.026163071,4.638095238095238,0,0,2025-06-15 13:23:32
7,2612,7,1,1,21,21,7257915.619047619,1500514,13226167,3634741.1928108926,4.5476190476190474,0,0,2025-06-15 13:23:32
8,2612,8,1,1,20,20,9344553.2,4240529,14815572,3660007.306375373,4.6049999999999995,0,0,2025-06-15 13:23:32
9,2612,9,1,1,18,18,7142568.666666667,3056809,13391262,3203519.035656919,4.594444444444445,0,0,2025-06-15 13:23:32
10,2612,10,1,1,20,20,7564342.5,1632474,14704983,4391704.087180277,4.6,0,0,2025-06-15 13:23:32
11,2612,11,1,1,15,15,7618388.666666667,1945768,13548629,3959421.102041536,4.6,0,0,2025-06-15 13:23:32
12,2612,12,1,1,19,19,8028947.315789473,2403613,14755763,4783744.108830423,4.621052631578947,0,0,2025-06-15 13:23:32
13,2612,13,1,1,19,19,7615524.263157895,1830931,14011376,3623489.4148977115,4.663157894736842,0,0,2025-06-15 13:23:32
14,2612,14,1,1,13,13,7968162.461538462,2480872,14907954,4768281.116335138,4.6230769230769235,0,0,2025-06-15 13:23:32
15,2612,15,1,1,14,14,9670459.57142857,3423760,14780158,3405855.637240295,4.621428571428572,0,0,2025-06-15 13:23:32
16,2612,16,1,1,15,15,10291719.733333332,3087723,14338505,3461963.1235003164,4.526666666666667,0,0,2025-06-15 13:23:32
17,2612,17,1,1,14,14,7946264.785714285,1818953,14451057,3405771.3074354595,4.607142857142857,0,0,2025-06-15 13:23:32
18,2612,18,1,1,14,14,7941369.285714285,2250343,14536563,4301093.115250613,4.571428571428571,0,0,2025-06-15 13:23:32
19,2612,19,1,1,17,17,9265433.352941176,1673056,14808848,4912667.392369508,4.605882352941176,0,0,2025-06-15 13:23:32
20,2612,20,1,1,16,16,7589609.0625,2157713,14966529,4047209.2290993547,4.65625,0,0,2025-06-15 13:23:32
21,2612,21,1,1,15,15,7304557.4,2285006,14963124,3846565.502099963,4.62,0,0,2025-06-15 13:23:32
22,2612,22,1,1,20,20,9341858.6,1586422,14627401,4227266.213391138,4.575,0,0,2025-06-15 13:23:32
23,2612,23,1,1,13,13,6621078.538461538,1511897,14287258,3546494.5572837275,4.646153846153846,0,0,2025-06-15 13:23:32
24,2612,24,1,1,11,11,6532941.7272727275,2304403,13064918,3419741.2715307306,4.636363636363637,0,0,2025-06-15 13:23:32
25,2612,25,1,1,15,15,7950372.066666666,1737946,13434905,3309610.442002405,4.593333333333334,0,0,2025-06-15 13:23:32
26,2612,26,1,1,10,10,9095483.0,2119364,14146849,3408824.565102822,4.57,0,0,2025-06-15 13:23:32
27,2612,27,1,1,15,15,10028769.733333332,2505846,14355111,3674392.842039649,4.533333333333333,0,0,2025-06-15 13:23:32
28,2612,28,1,1,11,11,9524009.727272727,2330499,14430679,4373781.491401121,4.536363636363636,0,0,2025-06-15 13:23:32
29,2612,29,1,1,16,16,8129045.375,3109971,13729418,3533681.037823662,4.575,0,0,2025-06-15 13:23:32
30,2612,30,1,1,11,11,8547075.0,2138253,14997089,4221413.357012364,4.527272727272727,0,0,2025-06-15 13:23:32
31,2612,31,1,1,11,11,10324665.181818182,6060533,14378143,3069099.8154695076,4.6000000000000005,0,0,2025-06-15 13:23:32
32,2612,32,1,1,14,14,9569292.0,2472470,14512637,3891501.6045411057,4.621428571428572,0,0,2025-06-15 13:23:32
33,2612,33,1,1,11,11,7813676.909090909,1697651,12444584,3184422.365577577,4.6000000000000005,0,0,2025-06-15 13:23:32
34,2612,34,1,1,12,12,8118823.833333333,2021597,12488711,3894381.4909294606,4.625,0,0,2025-06-15 13:23:32
35,2612,35,1,1,9,9,7543755.444444444,2024363,13435320,5242310.466428785,4.533333333333333,0,0,2025-06-15 13:23:32
36,2612,36,1,1,9,9,9110164.555555556,1752269,14671299,4315200.44814152,4.577777777777778,0,0,2025-06-15 13:23:32
37,2612,37,1,1,13,13,8896942.307692308,4895881,14461796,3286228.1032189317,4.630769230769231,0,0,2025-06-15 13:23:32
38,2612,38,1,1,10,10,10214776.5,4859028,13568848,2629524.278354642,4.61,0,0,2025-06-15 13:23:32
39,2612,39,1,1,11,11,7956499.454545454,1895351,14953835,4501629.029218297,4.6000000000000005,0,0,2025-06-15 13:23:32
40,2612,40,1,1,10,10,6368880.7,2170972,14573365,3953967.369653817,4.5600000000000005,0,0,2025-06-15 13:23:32
41,2612,41,1,1,8,8,9082875.0,2897484,13150901,3503357.4548487463,4.6125,0,0,2025-06-15 13:23:32
42,2612,42,1,1,9,9,7083345.111111111,2042710,14903670,5476040.881145759,4.577777777777778,0,0,2025-06-15 13:23:32
43,2612,43,1,1,13,13,6809575.307692308,1696156,13865630,4296881.961563106,4.592307692307692,0,0,2025-06-15 13:23:32
44,2612,44,1,1,9,9,10077565.111111112,2727942,14969437,3963985.542382674,4.644444444444444,0,0,2025-06-15 13:23:32
45,2612,45,1,1,12,12,8874934.166666666,2409444,14661673,4956108.396130226,4.583333333333333,0,0,2025-06-15 13:23:32
46,2612,46,1,1,10,10,8638563.3,2090224,13614953,3867908.852076994,4.64,0,0,2025-06-15 13:23:32
47,2612,47,1,1,12,12,8879986.333333334,4240251,14792555,3951361.662981264,4.583333333333333,0,0,2025-06-15 13:23:32
